CMDLINE 90664
MEM 6.062500 1703133474.0204
MEM 6.062500 1703133474.1256
MEM 6.062500 1703133474.2274
MEM 6.062500 1703133474.3327
MEM 6.062500 1703133474.4378
MEM 6.062500 1703133474.5382
MEM 6.062500 1703133474.6433
MEM 6.062500 1703133474.7485
MEM 6.062500 1703133474.8536
MEM 6.062500 1703133474.9568
MEM 6.062500 1703133475.0620
MEM 6.062500 1703133475.1622
MEM 6.062500 1703133475.2649
MEM 6.062500 1703133475.3701
MEM 6.062500 1703133475.4753
MEM 6.062500 1703133475.5797
MEM 6.062500 1703133475.6848
MEM 6.062500 1703133475.7900
MEM 6.062500 1703133475.8942
MEM 6.062500 1703133475.9980
MEM 6.062500 1703133476.1028
MEM 6.062500 1703133476.2049
MEM 6.062500 1703133476.3101
MEM 6.062500 1703133476.4122
MEM 6.062500 1703133476.5128
MEM 6.062500 1703133476.6135
MEM 6.062500 1703133476.7139
MEM 6.062500 1703133476.8181
MEM 6.062500 1703133476.9205
MEM 6.062500 1703133477.0256
MEM 6.062500 1703133477.1309
MEM 6.062500 1703133477.2357
MEM 6.062500 1703133477.3409
MEM 6.062500 1703133477.4429
MEM 6.062500 1703133477.5436
MEM 6.062500 1703133477.6488
MEM 6.062500 1703133477.7539
MEM 6.062500 1703133477.8590
MEM 6.062500 1703133477.9641
MEM 6.062500 1703133478.0693
MEM 6.062500 1703133478.1717
MEM 6.062500 1703133478.2769
MEM 6.062500 1703133478.3789
MEM 6.062500 1703133478.4801
MEM 6.062500 1703133478.5884
MEM 6.062500 1703133478.6931
MEM 6.062500 1703133478.7964
MEM 6.062500 1703133478.9015
MEM 6.062500 1703133479.0031
MEM 6.062500 1703133479.1083
MEM 6.062500 1703133479.2134
MEM 6.062500 1703133479.3153
MEM 6.062500 1703133479.4167
MEM 6.062500 1703133479.5171
MEM 6.062500 1703133479.6219
MEM 6.062500 1703133479.7271
MEM 6.062500 1703133479.8318
MEM 6.062500 1703133479.9331
MEM 6.062500 1703133480.0381
MEM 6.062500 1703133480.1433
MEM 6.062500 1703133480.2484
MEM 6.062500 1703133480.3536
MEM 6.062500 1703133480.4556
MEM 6.062500 1703133480.5607
MEM 6.062500 1703133480.6659
MEM 6.062500 1703133480.7710
MEM 6.062500 1703133480.8762
MEM 6.062500 1703133480.9813
MEM 6.062500 1703133481.0817
MEM 6.062500 1703133481.1853
MEM 6.062500 1703133481.2905
MEM 6.062500 1703133481.3956
MEM 6.062500 1703133481.4968
MEM 6.062500 1703133481.5975
MEM 6.062500 1703133481.7001
MEM 6.062500 1703133481.8007
MEM 6.062500 1703133481.9013
MEM 6.062500 1703133482.0019
MEM 6.062500 1703133482.1026
MEM 6.062500 1703133482.2076
MEM 6.062500 1703133482.3127
MEM 6.062500 1703133482.4178
MEM 6.062500 1703133482.5228
MEM 6.062500 1703133482.6280
MEM 6.062500 1703133482.7331
MEM 6.062500 1703133482.8383
MEM 6.062500 1703133482.9429
MEM 6.062500 1703133483.0480
MEM 6.062500 1703133483.1499
MEM 6.062500 1703133483.2551
MEM 6.062500 1703133483.3571
MEM 6.062500 1703133483.4622
MEM 6.062500 1703133483.5661
MEM 6.062500 1703133483.6712
MEM 6.062500 1703133483.7764
MEM 6.062500 1703133483.8767
MEM 6.062500 1703133483.9783
MEM 6.062500 1703133484.0834
MEM 6.062500 1703133484.1850
MEM 6.062500 1703133484.2902
MEM 6.062500 1703133484.3953
MEM 6.062500 1703133484.5005
MEM 6.062500 1703133484.6011
MEM 6.062500 1703133484.7021
MEM 6.062500 1703133484.8063
MEM 6.062500 1703133484.9115
MEM 6.062500 1703133485.0140
MEM 6.062500 1703133485.1192
MEM 6.062500 1703133485.2224
MEM 6.062500 1703133485.3261
MEM 6.062500 1703133485.4313
MEM 6.062500 1703133485.5321
MEM 6.062500 1703133485.6347
MEM 6.062500 1703133485.7406
MEM 6.062500 1703133485.8422
MEM 6.062500 1703133485.9477
MEM 6.062500 1703133486.0486
MEM 6.062500 1703133486.1543
MEM 6.062500 1703133486.2587
MEM 6.062500 1703133486.3639
MEM 6.062500 1703133486.4674
MEM 6.062500 1703133486.5733
MEM 6.062500 1703133486.6778
MEM 6.062500 1703133486.7859
MEM 6.062500 1703133486.8885
MEM 6.062500 1703133486.9921
MEM 6.062500 1703133487.0979
MEM 6.062500 1703133487.2037
MEM 6.062500 1703133487.3093
MEM 6.062500 1703133487.4149
MEM 6.062500 1703133487.5181
MEM 6.062500 1703133487.6189
MEM 6.062500 1703133487.7204
MEM 6.062500 1703133487.8260
MEM 6.062500 1703133487.9319
MEM 6.062500 1703133488.0361
MEM 6.062500 1703133488.1398
MEM 6.062500 1703133488.2459
MEM 6.062500 1703133488.3501
MEM 6.062500 1703133488.4557
MEM 6.062500 1703133488.5616
MEM 6.062500 1703133488.6672
MEM 6.062500 1703133488.7697
MEM 6.062500 1703133488.8729
MEM 6.062500 1703133488.9783
MEM 6.062500 1703133489.0820
MEM 6.062500 1703133489.1877
MEM 6.062500 1703133489.2931
MEM 6.062500 1703133489.3955
MEM 6.062500 1703133489.5009
MEM 6.062500 1703133489.6033
MEM 6.062500 1703133489.7089
MEM 6.062500 1703133489.8143
MEM 6.062500 1703133489.9198
MEM 6.062500 1703133490.0245
MEM 6.062500 1703133490.1279
MEM 6.062500 1703133490.2332
MEM 6.062500 1703133490.3383
MEM 6.062500 1703133490.4433
MEM 6.062500 1703133490.5492
MEM 6.062500 1703133490.6515
MEM 6.062500 1703133490.7527
MEM 6.062500 1703133490.8565
MEM 6.062500 1703133490.9606
MEM 6.062500 1703133491.0666
MEM 6.062500 1703133491.1725
MEM 6.062500 1703133491.2730
MEM 6.062500 1703133491.3783
MEM 6.062500 1703133491.4868
MEM 6.062500 1703133491.5927
MEM 6.062500 1703133491.6981
MEM 6.062500 1703133491.8039
MEM 6.062500 1703133491.9074
MEM 6.062500 1703133492.0087
MEM 6.062500 1703133492.1109
MEM 6.062500 1703133492.2142
MEM 6.062500 1703133492.3193
MEM 6.062500 1703133492.4252
MEM 6.062500 1703133492.5294
MEM 6.062500 1703133492.6326
MEM 6.062500 1703133492.7367
MEM 6.062500 1703133492.8424
MEM 6.062500 1703133492.9480
MEM 6.062500 1703133493.0492
MEM 6.062500 1703133493.1537
MEM 6.062500 1703133493.2567
MEM 6.062500 1703133493.3610
MEM 6.062500 1703133493.4651
MEM 6.062500 1703133493.5681
MEM 6.062500 1703133493.6729
MEM 6.062500 1703133493.7773
MEM 6.062500 1703133493.8809
MEM 6.062500 1703133493.9863
MEM 6.062500 1703133494.0884
MEM 6.062500 1703133494.1933
MEM 6.062500 1703133494.2970
MEM 6.062500 1703133494.3992
MEM 6.062500 1703133494.5042
MEM 6.062500 1703133494.6099
MEM 6.062500 1703133494.7136
MEM 6.062500 1703133494.8174
MEM 6.062500 1703133494.9198
MEM 6.062500 1703133495.0208
MEM 6.062500 1703133495.1257
MEM 6.062500 1703133495.2312
MEM 6.062500 1703133495.3366
MEM 6.062500 1703133495.4414
MEM 6.062500 1703133495.5449
MEM 6.062500 1703133495.6457
MEM 6.062500 1703133495.7480
MEM 6.062500 1703133495.8498
MEM 6.062500 1703133495.9550
MEM 6.062500 1703133496.0561
MEM 6.062500 1703133496.1607
MEM 6.062500 1703133496.2620
MEM 6.062500 1703133496.3653
MEM 6.062500 1703133496.4698
MEM 6.062500 1703133496.5737
MEM 6.062500 1703133496.6769
MEM 6.062500 1703133496.7811
MEM 6.062500 1703133496.8863
MEM 6.062500 1703133496.9914
MEM 6.062500 1703133497.0966
MEM 6.062500 1703133497.2019
MEM 6.062500 1703133497.3059
MEM 6.062500 1703133497.4115
MEM 6.062500 1703133497.5171
MEM 6.062500 1703133497.6190
MEM 6.062500 1703133497.7264
MEM 6.062500 1703133497.8312
MEM 6.062500 1703133497.9364
MEM 6.062500 1703133498.0385
MEM 6.062500 1703133498.1396
MEM 6.062500 1703133498.2454
MEM 6.062500 1703133498.3496
MEM 6.062500 1703133498.4537
MEM 6.062500 1703133498.5592
MEM 6.062500 1703133498.6661
MEM 6.062500 1703133498.7709
MEM 6.062500 1703133498.8765
MEM 6.062500 1703133498.9820
MEM 6.062500 1703133499.0875
MEM 6.062500 1703133499.1899
MEM 6.062500 1703133499.2957
MEM 6.062500 1703133499.3979
MEM 6.062500 1703133499.4988
